udDvaMsita,udDvaMs
pravitata,pravitan
anuzaNga,anusaj
tattvA,tattva
kftvA,kftvA
avinASi,avinASin
kavitA,kavitA
Bunakti,Bunakti
piSunEr,piSuna
utkarRitE,utkarRitE
ucCvasitezu,ut_Svas
Anana,Anana
udvIkzita,ut_vi_Ikz
vyAlulitena,vyAlulita
ikziRA,ikzin
aBihita,aBi_DA
nirIkzya,niH_Ikz
pAhi,pA
urvIm,urvIm
urvIm,urvI
dfzwvA,dfz
karmARi,karmAR
manuja,manuja
sadfSAni,sadfSa
udBinna,ut_Bid
AsvAdayantaH,AsvAdayat
AsvAdayantaH,A_svAd
vIrya,vIrya
uttaptAS,uttaptAH
uttaptAS,ut_tap
SaraRam,SaraRa
upagatAH,upagata
upagatAH,upa_gam
pAhi,pA
pAhi,pAhi
