final\initial,vowels,y,r,l,v,ś,ṣ,s,h,,,,,,,,,,,
k,g,g,g,g,g,g,,,g(gh),,,,,,,,,,,
ṭ,ḍ,ḍ,ḍ,ḍ,ḍ,,,,ḍ(ḍh),,,,,,,,,,,
t,d,d,d,l,d,c(ch),,,d(dh),,,,,,,,,,,
p,b,b,b,b,b,,,,b(bh),,,,,,,,,,,
ṅ,ṅṅ,,,,,,,,,,,,,,,,,,,
n,nn,,,ṃl,,ñ(ś/ch),,,,,,,,,,,,,,
m,,ṃ,ṃ,ṃ,ṃ,ṃ,ṃ,ṃ,ṃ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
final\initial,a,A,i,I,u,U,f,e,E,o,O,y,r,l,v,S,S,z,s,h
k,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,k,k,g(G)
w,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,w,w,w,w,q(Q)
t,d,d,d,d,d,d,d,d,d,d,d,d,d,l,d,c(C),c(C),t,t,d(D)
p,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,p,p,p,p,b(B)
N,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,N,N,N,N,N
n,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,n,n,Ml,n,Y(S),Y(C),n,n,n
m,m,m,m,m,m,m,m,m,m,m,m,M,M,M,M,M,M,M,M,M
