sarpatas \>2\>3\sfp
praDinas \>3\praDI
dAkzIs \dAkza\dAkzi
putrakAmyizyati \>1\putrakAma
sUcitas \>1\>3
pyAyayizyati \>1\>9
iqayA \>2\iqA
vApayitA \>6\vap
gaye \gayA\gaya
tuzwUzyatAm \>2\stu
uruzyati \>1\>4
SvAsayizyate \>1\Svas
vacAs \vaca\vacas
harzati \>1\hfz
nahyatAm \>2\>5
tArakAByAm \>4\tAraka
ezatAm \>2\iz
mimyatur \>6\mI
ISAm \>1\>2\ISa
ABAsi \>1\ABAsin
vArttAn \>1\vArtta
DaraRyos \DaraRI\DaraRa
paTikAnAm \paTika\paTin
vezwayizyatas \>2\>9
jawinas \>2\>3
ISizyanti \>7\ISizyat
lalayate \>1\>5
capayatAm \>2\ci
udakIyizyatas \>2\udaka
jIvitA \>3\jIvita
kalAyE \>2\kala
hIye \hA\hi
Asayizyanti \>9\Asayizyat\as
vyAqI \vyAqa\vyAqi
vAsayitAsvas \<9\>8
boDes \boDi\buD
ajyeyATAm \>7\aYj
pfRIyAs \>5\pF
deSayati \>1\diS
uzasyanti \>5\uzasyat
asAdaye \sad\svad
sArayati \>1\sf
marzye \marzya\mfz
DAnam \>1\DAnA
svalpaSilAyizyate \>1\>7
plozizyate \>1\pluz
adBis \>3\ap
yukte \yukta\yukti
gaNgas \>1\gaNgA
aDyAyas \<1>3\>1
dolAni \>2\dola
rotsyatas \>2\ruD
gATayA \>2\gATA
matyAs \mati\matya
prakASI \prakASa\prakASin
lagizyanti \>7\lagizyat
vaNganO \>2\vaNgana
cUrRyO \cUrRi\cUrRya
SatikAnAm \Sataka\Satika
tyakzyanti \tyaj\tyakzyat
jihAsatas \<2>5\>2
gajizyanti \>7\gajizyat
BajyAvahE \>6\BaYj
maryAyAs \>3\marya
mAsyatas \>2\>6
amApyAmahi \<1>7\mI
upakftinA \>1\>2
mfgARi \>2\mfga
ijye \ijyA\yaj
lapanti \>4\lapat
SuSrUzyE \Sru\SuSruvas
parTayatas \>2\pfT
marDizyate \>1\mfD
hvAyayatas \>2\hU
suKyizyanti \suKa\suKyizyat
sTAsyati \>1\>5
tarpayatas \>2\tfp
vApayatas \>2\>7\vap
rucyAs \ruci\rucya
rAjyas \>1\rAji
sanvatAm \>2\>5
prajYAsu \>2\prajYa
akzapyaDvam \<1>6\kzI
DArARi \>2\DAra
raMhizyanti \>7\raMhizyat
cikziyatur \<2>5\kzI
gadgadyizyatas \>2\gadgada
saNKyAn \>1\saNKya
pratipadAyAs \>4\pratipada
upalayos \>3\upalA
avAsayAma \<1>4\vas
calatas \>2\>3\>4
IyAmahE \<1>4\i
varivasyitA \>4\varivasyita
Amayizyati \>1\am
vekzyAvahe \viS\vic
rakzAt \>1\rakza
vedayati \>1\vid
valgizyanti \>7\valgizyat
arpayatas \>2\f
darpayate \>1\dfp
guRqayizyati \>1\>8
mIlizyatas \>2\>7
druhyatas \>2\>5
manuze \>2\>3\manuza
pramadAyizyate \>1\>7
bIBatsitA \bAD\bIBatsita
jAsyanti \jAsyat\jan
namasyizyatas \>2\>8
aSanAyizyatas \>2\aSana
apUyeTAm \<1>4\<1>5
vArtAm \vArttA\vArtta
BavatAm \>2\BU
BUya \=\>2
apArayAvahi \pF\pf
ABAsI \ABAsa\ABAsin
hriye \hf\hrI
pratIkzAt \>1\pratIkza
rasyaDvam \>6\rasa
nAmayati \>1\nam
pratiBAyAs \>3\pratiBa
avI \=\avi
vApyantAm \>7\vap
cyavanti \cyavat\cyu
raRayizyanti \>9\raRayizyat
cikitsanti \cikitsat\cit
Jampas \>1\JampA
gadizyanti \>7\gadizyat
ApiBis \>3\ApI
yadfcCABis \>3\yadfcCa
SAstrI \SAstf\SAstrin
cikIrzye \cikIrzya\kf
varRikA \varRaka\varRika
ASA \=\ASa
Bramizyatas \>2\>7
loBye \loBya\luB
manyAsu \>2\manya
aYcayizyate \>1\>8
mAyas \>1\mAyA
BUnAm \>3\Bu
udAsu \uda\udan
SAsyAmahe \>6\>7
DarmAyAm \Darma\Darman
zaRRavatO \zaRRavata\zaRRavati
SabdayitA \>4\Sabdayita
mEtrIByAm \>4\mEtra
vahI \>1\vaha\vahin
aYjayizyati \>1\>8
sambanDI \sambanDa\sambanDi\sambanDin
urasyizyate \>1\>7
lunatAm \>2\lU
mADyamikA \mADyamaka\mADyamika
Adayizyanti \Adayizyat\ad
ninartizatas \>2\nft
trasyati \>1\>4
tsarizyanti \>7\tsarizyat
uze \uzas\vas
kANkzye \>2\kANkzya
pratiBAya \>2\pratiBa
AsyantAm \>6\as
raRatas \>2\>3\>4
vimalAByAm \>4\vimala
syandanti \>4\syandat
gaditas \>1\>3
kzIrasyanti \>6\kzIrasyat
ajapas \<1>2\ajapA
triMSatas \>2\>3
strIkezu \>4\strIka
jasyatas \>2\>5
sItezu \sItA\sIta
Asayasva \<4>2\>6
jApayeTAm \jap\ji
snehizyanti \snehizyat\snih
aNgati \>1\>3
niSe \>1\niSA
poTizyati \>1\puT
aloWyetAm \luRW\luW
varRikAs \varRaka\varRika
tsaratas \>2\>4
DvArayizyati \>1\Dvf
kalpanAyAm \>3\kalpana
mnAye \>2\mnAya
praDine \>2\praDI
DAryE \DAra\Df
kfRvanti \>6\kfRvat
kAsya \>2\kas
jAnyAs \jAni\jAnya
rajyati \>1\raYj
gAlayasva \gF\gal
anubanDI \anubanDa\anubanDin
kuwwye \kuwwa\kuwwya
nizWena \nizWA\nizWa
akzAByas \akza\akzan
dolA \=\dola
SoBayizyatas \>2\SuB
kuRqatAm \>2\>4
madayizRuzu \mAdayitnu\madayitnu
Bum \>1\BU
vfzIyati \>1\vfza
SayitA \SI\Sayita
tantri \tantra\tantrin
janI \jana\jani
pIqye \>2\pIqya
jaBizyanti \>7\jaBizyat
mana \manas\mnA
grAhayizyatas \>2\grah
mApayatu \>6\mI
ajya \>2\aYj
Cadine \>1\>2
DArayizyati \>1\Df
kubjikAyAm \>3\kubjaka
SakeByas \Saka\Sakan
vartane \vartana\vartani
yuYjatAm \>2\yuj
vivikzyete \viS\vic
surABis \>3\sura
paTena \paTa\paTin
nodye \nodya\nud
diDizitA \DA\diDizita
DaraRIm \>1\DaraRa
gArgyA \gArga\gArgya
ajApayaTAs \jap\ji
tuhinayizyatas \>2\>8
mfgye \mfga\mfgya
spandayate \>1\>5
vitfzRAni \>2\vitfzRa
buButsati \>1\buD
revatam \>1\>2
puwayizyati \>1\>8
medyanti \medyat\mid
biByati \BI\biBIat
kUjye \>2\kUjya
sAvaDAnayitA \>4\sAvaDAnayita
aGAyizyate \>1\aGa
baMhye \>2\baMhya
vicArI \vicAra\vicArin
oBizyati \>1\umB
SiTilayizyatas \>2\>8
izayizyete \>6\>7
rADas \=\rADA
sAdayizyAmahe \sad\svad
varARi \vara\vf
vAhikAsu \vAhaka\vAhika
upalAyAm \>3\upala
jigamizati \<2>5\>1
kftIni \kfti\kftin
vedanAya \>2\vedana
BAsati \>1\>3
pAyayatAm \>2\>7
vivikzyeyATAm \viS\vic
vaqabAByAm \vaqaba\vaqavA\vaqava
aNkayizyatas \>2\>8
vraRayizyanti \>8\vraRayizyat
aBijYAya \>2\aBijYa
vartye \vartya\vft
nandikAyE \nandaka\nandika
SArvari \SArvarI\SArvarin
mindayatas \>2\mid
ropayatAm \>2\ruh
kfzwO \kfzwa\kfzwi
Dayati \>1\DA
aririzati \>1\f
karzizyate \>1\kfz
pozayizyati \>1\puz
lAYCizyanti \>7\lAYCizyat
vAle \vAla\vAli
vetsyati \>1\vid\vyaD
valyas \>1\vali
uSyE \uSI\vaS
racayatAm \>2\>6
kutsatas \>2\>3\>4
vraScitA \>3\vraScita
BakzyAmi \Baj\Baz
kAmayizyati \>1\kam
kAmandakI \kAmandaka\kAmandaki
dalatas \>2\>3\>4
Amayatas \>2\>3\am
mUrCayanti \>6\mUrCayat
didfkzye \dfS\didfkzya
vIrayizyanti \>8\vIrayizyat
Bedayatas \>2\Bid
cetayatas \>2\>3\cit
jawinA \>1\>2
pABis \>3\pa
padyO \>2\padya
sarjayanti \sarjayat\sfj
praTitA \>3\praTita
SAlAm \>1\SAla
cezwatas \>2\>3\>4
meTike \>2\meTikA
vraScayate \>1\>5
vAtsyO \vAtsI\vAtsa\vAtsya
Svetake \Svetaka\Svetaki
marDizyanti \marDizyat\mfD
dArvAs \dAru\dArva
upahastayanti \>5\upahastayat
DAtrIByas \>4\DAtf
gamayatAm \>2\>6
alaye \ali\lI
laye \lI\laya
varzayati \>1\vfz
lepayatas \>2\lip
SuBaMyO \SuBaMyA\SuBaMyu
piRqO \piRqa\piRqi
SAradAt \>1\SArada
meTizyatas \>2\miT
pUlezyate \>1\pUla
parokzAyizyanti \parokzAyizyat\parokza
utkaRWayizyate \>1\>8
didikzyate \>1\diS
krotsyatas \>2\kruD
gAlayAvas \gF\gal
kASyE \>2\kASi
raMhayati \>1\>5
pawizyanti \>7\pawizyat
Ejye \ej\yaj
anukArI \anukAra\anukArin
drAvayizyanti \drAvayizyat\dru
SatikayA \>2\Sataka
EzayAvahi \iz\iza
kASayati \>1\>5
DvArayizyatas \>2\Dvf
aNgatAm \>2\>4
raTakAmyizyatas \>2\raTakAma
dyotitA \dyotita\dyut
asunos \<1>3\>3
devayO \devaya\devayu
sAdayitAsTa \sad\svad
vizi \>1\vizin
SvAsayizyanti \SvAsayizyat\Svas
marqizyanti \marqizyat\mfq
syantsyanti \syand\syantsyat
rADayanti \>6\rADayat
praTayizyanti \>9\praTayizyat
suKAyitA \>4\suKAyita
pracCadas \>1\>2
vadizyanti \>7\vadizyat
gavezate \>1\>3
udIcyAs \udIcI\udIcya\udac
sKAlayanti \sKAlayat\sKal
BAze \>1\BAzA
BaktO \Bakta\Bakti
tApye \tApya\tap
yamayatas \>2\>6
ayujas \<1>2\>1
devayete \>5\dIv
jiGhatsyatAm \>2\Gas
asyat \=\sA
dat \=\danta
cetasi \>1\cit
lagatas \>2\>4
kAsyaDvam \>6\kas
uzyAmahe \>6\vas
caryayA \>2\caryA
ScotatAm \>2\Scut
kAdambarI \=\kAdambara
mardizyati \>1\mfd
ranDayanti \raD\ranDayat
sujAtI \sujAta\sujAti
tapizyati \>1\>6
muKaryAm \muKara\muKarya
krIqAni \>2\>3
kampe \>1\kampa
INKayizyati \>1\>8
japAyE \>2\japa
utkaRWitA \>3\utkaRWita
gOrI \=\gOra
vAte \>1\vAta
rakzAByAm \>4\rakza
nAvyAni \nAvya\nO
saraRI \saraRa\saraRi
pratiBAni \>2\pratiBa
Gawyas \>1\Gawa
vAtAm \>2\>3\vAta
avApayatAm \<1>7\vap
Bezyatas \>2\BI
pramadasya \>3\pramadA
Amizam \>1\Amis
arhayizyati \>1\>8
jihrati \hf\jihfat
Darmam \>1\Darman
yApayizyanti \>10\yApayizyat
adAni \>3\ada
dAruRas \>1\>3
BAjayanti \BAjayat\Baj
ropayizyanti \ropayizyat\ruh
trapayate \>1\>5
rAjanyO \rAjana\rAjanya
valayA \>2\valaya
lakzayizyatas \>2\>9
Palatas \>2\>3\>4
Apsyati \>1\>5
mardate \>1\mfd
gamayate \>1\>5
ukzizyatas \>2\>7
SrAvayatAm \>2\Sru
mumUrzyati \>1\mf
virahI \viraha\virahin
Sezayatas \>2\Siz
alIni \ali\alin
tulayate \>1\>5
BfNgi \BfNga\BfNgin
Sasizyanti \>7\Sasizyat
vahizyati \>1\>6
milizyati \>1\>6
yAcitA \>3\yAcita
Sarizyati \>1\SF
sevAm \>1\seva
smaratAm \>2\smf
vyaTizyatas \>2\>7
cezwati \>1\>3
nahyanti \>5\nahyat
muzwikAByas \>4\muzwika
BUzayanti \>6\BUzayat
drozyatas \>2\dru
aSvas \>1\SU
vistArI \vistAra\vistArin
tArakasya \>3\tArakA
pAkyas \>1\pAka
vfzIyizyati \>1\vfza
valgO \valgA\valgu
buBukzitA \Buj\buBukzita
boBavate \>1\boBoat
pozayatas \>2\puz
BrAjitA \>3\BrAjita
kaRqUyitA \kaRqUyita\kaRqu
dfBanti \>4\dfBat
kArAn \>1\kAra
sIyAvahE \sA\si
plozanti \plozat\pluz
arcatAm \>2\fc
gAlayAvahE \gF\gal
mfjAm \>1\mfja
durgEs \durgA\durga
