Stem,Form,Start idx,End idx,XML line
pA,apApAyata,,,<f form="apApAyata"><v><cj><int/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><sg/><trd/></np></v><s stem="pA#2"/></f>
pA,apApAyaTAs,,,<f form="apApAyaTAs"><v><cj><int/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><sg/><snd/></np></v><s stem="pA#2"/></f>
pA,apApAyaDvam,,,<f form="apApAyaDvam"><v><cj><int/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><pl/><snd/></np></v><s stem="pA#2"/></f>
pA,apApAyanta,,,<f form="apApAyanta"><v><cj><int/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><pl/><trd/></np></v><s stem="pA#2"/></f>
pA,apApAyAmahi,,,<f form="apApAyAmahi"><v><cj><int/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><pl/><fst/></np></v><s stem="pA#2"/></f>
pA,apApAyAvahi,,,<f form="apApAyAvahi"><v><cj><int/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><du/><fst/></np></v><s stem="pA#2"/></f>
pA,apApAye,,,<f form="apApAye"><v><cj><int/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><sg/><fst/></np></v><s stem="pA#2"/></f>
pA,apApAyetAm,,,<f form="apApAyetAm"><v><cj><int/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><du/><trd/></np></v><s stem="pA#2"/></f>
pA,apApAyeTAm,,,<f form="apApAyeTAm"><v><cj><int/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><du/><snd/></np></v><s stem="pA#2"/></f>
mah,amahayAmahi,,,<f form="amahayAmahi"><v><cj><ca/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><pl/><fst/></np></v><s stem="mah"/></f>
mah,amahyAmahi,,,<f form="amahyAmahi"><v><cj><prim/></cj><sys><pas><md><im/></md></pas></sys><np><pl/><fst/></np></v><v><cj><ca/></cj><sys><pas><md><im/></md></pas></sys><np><pl/><fst/></np></v><s stem="mah"/></f>
yat,ayatyata,,,<f form="ayatyata"><v><cj><prim/></cj><sys><pas><md><im/></md></pas></sys><np><sg/><trd/></np></v><s stem="yat#1"/></f>
yA,ayApayAma,,,<f form="ayApayAma"><v><cj><ca/></cj><sys><prs><md><im/></md><para/></prs></sys><np><pl/><fst/></np></v><s stem="yA#1"/></f>
yA,ayApayAmahi,,,<f form="ayApayAmahi"><v><cj><ca/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><pl/><fst/></np></v><s stem="yA#1"/></f>
yA,ayApayAva,,,<f form="ayApayAva"><v><cj><ca/></cj><sys><prs><md><im/></md><para/></prs></sys><np><du/><fst/></np></v><s stem="yA#1"/></f>
yA,ayApayAvahi,,,<f form="ayApayAvahi"><v><cj><ca/></cj><sys><prs><md><im/></md><atma/></prs></sys><np><du/><fst/></np></v><s stem="yA#1"/></f>
yA,ayApyAmahi,,,<f form="ayApyAmahi"><v><cj><ca/></cj><sys><pas><md><im/></md></pas></sys><np><pl/><fst/></np></v><s stem="yA#1"/></f>
yA,ayApyAvahi,,,<f form="ayApyAvahi"><v><cj><ca/></cj><sys><pas><md><im/></md></pas></sys><np><du/><fst/></np></v><s stem="yA#1"/></f>
